date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:29	2157/2157	---MC-	200	added ('OK')	application/json	date:Sat,%2031%20Mar%202018%2016:04:29%20GMT	http://chemoah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchemoah.com%2F	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-json/oembed/1.0/embed4549.json	(from http://chemoah.com/)
11:04:30	2256/2256	---MC-	200	added ('OK')	text/xml	date:Sat,%2031%20Mar%202018%2016:04:29%20GMT	http://chemoah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchemoah.com%2F&format=xml	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-json/oembed/1.0/embed303f	(from http://chemoah.com/)
11:04:31	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2031%20Mar%202018%2016:04:30%20GMT	http://chemoah.com/xmlrpc.php	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/xmlrpc.php	(from http://chemoah.com/)
11:04:33	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%22650524d-17ba0-535cd7d0b1780%22	http://chemoah.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://chemoah.com/)
11:04:34	112121/112121	---M--	200	added ('OK')	image/svg+xml	etag:%22650028c-1b5f9-5318f39998500%22	http://chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg?v=3	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.svg	(from http://chemoah.com/)
11:04:37	20161/20161	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2031%20Mar%202018%2016:04:34%20GMT	https://use.typekit.net/gze3vfz.js	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/use.typekit.net/gze3vfz.js	(from http://chemoah.com/)
11:04:37	30804/30804	---M--	200	added ('OK')	application/x-font-woff	etag:%226500290-7854-5318f39998500%22	http://chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff?v=3	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.woff	(from http://chemoah.com/)
11:04:38	47528/47528	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22650028b-b9a8-5318f39998500%22	http://chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot?v=3	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.eot	(from http://chemoah.com/)
11:04:38	47332/47332	---M--	200	added ('OK')	text/plain	etag:%22650028e-b8e4-5318f39998500%22	http://chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf?v=3	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello30f4.ttf	(from http://chemoah.com/)
11:04:38	733/733	---M--	200	added ('OK')	image/png	etag:%226501c78-2dd-531ca54e4f840%22	http://chemoah.com/wp-content/uploads/2015/02/education-64px-outline_flask.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/uploads/2015/02/education-64px-outline_flask.png	(from http://chemoah.com/)
11:04:38	1500/1500	---M--	200	added ('OK')	image/png	etag:%226501ca4-5dc-531ca5512bf00%22	http://chemoah.com/wp-content/uploads/2015/02/health-64px-outline_nurse.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/uploads/2015/02/health-64px-outline_nurse.png	(from http://chemoah.com/)
11:04:39	11096/11096	---M--	200	added ('OK')	image/png	etag:%226504967-2b58-531cd2c30b6c0%22	http://chemoah.com/wp-content/uploads/2016/05/logo.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/uploads/2016/05/logo.png	(from http://chemoah.com/)
11:04:39	760/760	---M--	200	added ('OK')	image/png	etag:%226501ca8-2f8-531ca55220140%22	http://chemoah.com/wp-content/uploads/2015/02/health-64px-outline_pulse-chart.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/uploads/2015/02/health-64px-outline_pulse-chart.png	(from http://chemoah.com/)
11:04:39	39086/39086	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Mar%202018%2016:04:38%20GMT	http://chemoah.com/self-referral-form/	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/self-referral-form/index.html	(from http://chemoah.com/)
